dataset,record_count,date_range,key_breakdown,notes
messages_soundwall,287,2026-05-25 to 2026-07-08,"{""pages_scraped"": 12, ""length_buckets"": {""long"": 84, ""very_long"": 26, ""medium"": 64, ""short"": 113}, ""anonymous_count"": 2}",Messages parsed from 12 listing pages. Text cleaned and kept in full for sound-wall visualization.
souls_lampwall,187,,"{""listing_pages_scraped"": 2, ""block_counts"": {""宏泰閣"": 70, ""宏道閣"": 2, ""宏新閣"": 3, ""宏盛閣"": 1, ""宏昌閣"": 111}, ""known_names"": 63, ""pending_names"": 124, ""pet_records"": 6, ""ages_known_count"": 5}","The site heading says 168+, but the current listing pages expose soul-001 to soul-187, so this dataset includes 187 cards."
